title,link,price
b'DELIGHTFUL 78 ACRE HUNTERS PARADISE',auburn.craigslist.org/reo/5937106324.html,269000
b'Horse Farm w/ House w/ 8.76 acre fenced Auburn',auburn.craigslist.org/reo/5974689237.html,245000
b'On RAIL ROAD AVE!!! Depot Rail Road Ave 7500sf-Former ICEHOUSE)',auburn.craigslist.org/reo/5934020817.html,485000
"b'3.21 Acre Lot in Auburn City Limits-$189,000'",auburn.craigslist.org/reo/5935450707.html,0
b'Mortgage Acceleration Training',auburn.craigslist.org/reo/5971504129.html,1995
b'Moving &amp; Storage business PLUS Storage Buildings/real estate included!',auburn.craigslist.org/reo/5931634948.html,158000
"b'Mobile Home Trailer for Sale at Gentilly Park I,  Auburn, AL'",auburn.craigslist.org/reo/5969478551.html,15500
b'Millhouse Hill for sale by owner',auburn.craigslist.org/reo/5968402687.html,415500
b'No upfront fee funding for a home',auburn.craigslist.org/reb/5966815615.html,0
b'Empire Tax is helping people get into homes with refund advance',auburn.craigslist.org/reb/5966702788.html,0
b'HOME FOR RENT $1600',auburn.craigslist.org/reb/5965830742.html,1600
b'2.5 acres for trade in Pikeville TN',auburn.craigslist.org/reo/5965505545.html,0
b'4.06Acres pristine House and land beautiful wooded tract',auburn.craigslist.org/reo/5925097415.html,138000
b'RV lot on saugahatchee Creek',auburn.craigslist.org/reo/5962103072.html,0
"b'Single Family - Detached, Ranch - Mesa, AZ'",auburn.craigslist.org/reb/5955626060.html,0
b'Mobile Homes for sale',auburn.craigslist.org/reo/5953404688.html,0
"b'Auburn Alabama mobile home for sale - $23,500 - Sale Pending'",auburn.craigslist.org/reo/5952735623.html,23500
b'Real Estate Investor Seeks Students to Mentor',auburn.craigslist.org/reo/5951788520.html,0
b'Big Country House',auburn.craigslist.org/reo/5949746505.html,49900
b'FINANCING AVAILABLE 2016 CLAYTON 16X82 1320SQ FT',auburn.craigslist.org/reo/5930239981.html,37000
b'FRONTS Rail Road Ave (Former ICEHOUSE)',auburn.craigslist.org/reo/5911645214.html,475000
b'Real Estate Auction 3BD 1BA',auburn.craigslist.org/reb/5948392703.html,0
b'Home For Sale Great Location In Salem',auburn.craigslist.org/reb/5946823625.html,185000
b'Three bedroom two bath',auburn.craigslist.org/reo/5946026815.html,0
"b'** 580 Credit Scores FHA,VA &amp; USDA Loans Call Now!!'",auburn.craigslist.org/reo/5926140118.html,0
"b'&gt;&gt;&gt; L@@k &gt;&gt;&gt; ""COOL YOUR SUMMERS OFF"" BY THE NANTAHALA RIVER'",auburn.craigslist.org/reo/5942428934.html,0
b'REDUCED PRICE! SC LOG HOME ON 3.64 ACRES - NEAR LAKE HARTWELL',auburn.craigslist.org/reo/5904064223.html,225000
b'Brick house &amp; 3 lots',auburn.craigslist.org/reo/5916746857.html,89900
b'Home for Rent',auburn.craigslist.org/reo/5941695732.html,1600
b'Home for rent',auburn.craigslist.org/reo/5940438461.html,0
b'Lots for rent',auburn.craigslist.org/reo/5937522067.html,0
"b'Wood Frame Home (LaFayette, AL)- $18,000'",auburn.craigslist.org/reo/5898742501.html,0
"b'House On 1 Acre. Great Deal On Real Estate $75,000 \xf0\x9f\x98\x82'",auburn.craigslist.org/reo/5895562400.html,0
"b'364 Acres Recreational / Timber Land. $679,900'",auburn.craigslist.org//montgomery.craigslist.org/reo/5985894427.html,0
"b'364 Acres Recreational / Timber Land $679,900'",auburn.craigslist.org//bham.craigslist.org/reo/5954399922.html,0
b'Calling all investors!',auburn.craigslist.org//atlanta.craigslist.org/atl/reo/5995907067.html,0
b'1997 cougar doublewide mobile home**MUST BE MOVED** NO RENT TO OWN**',auburn.craigslist.org//atlanta.craigslist.org/nat/reo/5975073228.html,18000
"b'364 Acres Recreational / Hunting Land  $679,900'",auburn.craigslist.org//gadsden.craigslist.org/reo/5985881750.html,0
b'1997 cougar doublewide mobile home **MUST BE MOVED** NO RENT TO OWN**',auburn.craigslist.org//gadsden.craigslist.org/reo/5963569321.html,18000
"b'364 Acres Recreational / Timber Land $679,900'",bham.craigslist.org/reo/5954399922.html,
b'10.5 ACRES NEAR NEW I-22!!!',bham.craigslist.org/reo/5953068506.html,0
"b'7-8% CAP RATE - OCCUPIED INVESTMENT PROPERTY FOR SALE - $620,000'",bham.craigslist.org/reo/5960948132.html,0
"b'118 Highland Drive, Hueytown, AL'",bham.craigslist.org/reo/5995819914.html,0
b'Eddie Buys Houses in Bham !',bham.craigslist.org/reo/5995753110.html,0
b'Eddie Buys Houses in Bham !',bham.craigslist.org/reo/5995755425.html,0
"b'e 3br - 2000 sf, 3BR, 3BA brick house on 5 acres'",bham.craigslist.org/reb/5995766561.html,163500
b'One of the most historical homes in Bham',bham.craigslist.org/reb/5995766797.html,374900
b'4 BR 1 BA $9.5k',bham.craigslist.org/reo/5995751051.html,0
b'4 BR 1 BA $9.5k',bham.craigslist.org/reo/5995749862.html,0
b'4 BR 1 BA $9.5k',bham.craigslist.org/reo/5995746376.html,0
b'4 BR 1 BA House for Sale  $ 9.5k',bham.craigslist.org/reo/5995747503.html,0
b'4 BR 1 BA $9.5k',bham.craigslist.org/reo/5995744163.html,0
b'4 BR 1 BA House for Sale  $ 9.5k',bham.craigslist.org/reo/5995742549.html,0
b'4 BR 1 BA House for Sale  $ 9.5k',bham.craigslist.org/reo/5995738724.html,0
b'4 BR 1 BA $9.5k',bham.craigslist.org/reo/5995741155.html,0
b'4 BR 1 BA $9.5k',bham.craigslist.org/reo/5995737132.html,0
b'80+ Acres of Blue Ridge Mountain Beauty',bham.craigslist.org/reo/5984019757.html,0
b'Royale Palms Penthouses for Sale',bham.craigslist.org/reo/5960799928.html,0
b'Royale Palms Penthouse for Sale -',bham.craigslist.org/reo/5977161768.html,0
b'Investors Dream!!! CASHFLOW$$$ Baltimore Emerging!!!!',bham.craigslist.org/reo/5984091061.html,0
b'Nice 3 Bedroom For Rent In Bessemer... Section 8 Welcome',bham.craigslist.org/reo/5995578832.html,795
b'1999 / 2013 Fleetwood 16 x 76 3Bed 2bath mobile home',bham.craigslist.org/reo/5976862629.html,0
b'Tensaw River Waterfront',bham.craigslist.org/reo/5982584678.html,339000
b'(REDUCED PRICE) 3-Bedroom 3-Full bathrooms',bham.craigslist.org/reo/5958206283.html,23000
b'2004 32x80 manufactor home &amp; 4 acres',bham.craigslist.org/reo/5952711377.html,129000
b'Real Estate Auction 3BD 2BA',bham.craigslist.org/reb/5995362125.html,0
"b'Vacant land -- Talladega, AL'",bham.craigslist.org/reo/5982565540.html,0
"b'Lease/Own Financing, Very Nice Home on .7 Acre'",bham.craigslist.org/reb/5992030530.html,45900
b'Turnkey Property For Sale',bham.craigslist.org/reo/5995372172.html,52000
b'Mountain Home and Land',bham.craigslist.org/reo/5995374722.html,123500
b'Acreage for sale in Irondale - 4900 Fulmar Drive',bham.craigslist.org/reb/5972254557.html,375000
b'Home for Sale - 321 Plaza Drive',bham.craigslist.org/reb/5956066741.html,70000
b'Gorgeous 3/1 home for sale -- owner financing!!',bham.craigslist.org/reo/5995333340.html,500
"b'NO credit check!! Lease Purchase, as low as $3500 down - RENT: 750/M'",bham.craigslist.org/reo/5988447469.html,35000
b'Real Estate Auction 4BD 2BA',bham.craigslist.org/reb/5995298565.html,0
"b'House for sale--$8,500 owner financing available'",bham.craigslist.org/reo/5995334684.html,0
b'* INVESTMENT PORTFOLIO *',bham.craigslist.org/reo/5958856670.html,200000
b'Real Estate Auction 4BD 2BA',bham.craigslist.org/reb/5995268040.html,0
b'Strike Gold in Montevallo!',bham.craigslist.org/reb/5995229547.html,0
b'Just Listed in Clanton!',bham.craigslist.org/reb/5995234835.html,0
b'4 BR 2BA HOME on 1+/- acre',bham.craigslist.org/reb/5986467053.html,49900
b'Upscale Townhouse - The Hills @ Brook Highland - 3BR / 2.5BA',bham.craigslist.org/reo/5983590591.html,229900
b'Skyview Condomimium',bham.craigslist.org/reo/5995133000.html,0
b'\xe2\x96\xba\xe2\x96\xba Remodeled Rent 2 Own Trussville House \xe2\x97\x84\xe2\x97\x84',bham.craigslist.org/reo/5963412283.html,220000
b'2 Bed 1 Bath Occupied',bham.craigslist.org/reo/5953550156.html,0
b'3 bedroom 1 bath $399 monthly',bham.craigslist.org/reo/5953557360.html,0
b'Home in beautiful mccalla AL',bham.craigslist.org/reo/5994917046.html,182900
b'Land for Sale 28.06 Acres ; Fixer Upper house',bham.craigslist.org/reo/5995053260.html,0
b'Large BEAUTIFUL home.',bham.craigslist.org/reb/5994925738.html,0
b'Renovated Historic 4bd/3bth Cliff Road',bham.craigslist.org/reo/5964360887.html,425000
b'2bd 2ba/1hba Condo for Sale in Birmingham',bham.craigslist.org/reb/5995002186.html,100000
b'We Can Make You More Money!',bham.craigslist.org/reo/5985001607.html,0
b'Woodhaven Lots REDUCED (by owner)',bham.craigslist.org/reo/5955285975.html,16500
b'3 Land for Sale in Trussville',bham.craigslist.org/reb/5995026859.html,27000
"b'Trussville, AL Land for Sale - 0 acres'",bham.craigslist.org/reb/5994973940.html,14000
b'3bd 2ba Home for Sale in Trussville',bham.craigslist.org/reb/5994968675.html,110000
"b'Home for Sale in Trussville, AL (3bd 2ba/1hba)'",bham.craigslist.org/reb/5995008415.html,450000
"b'Land for Sale in Birmingham, AL (0)'",bham.craigslist.org/reb/5994995843.html,42500
"b'Moody, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5994988256.html,210000
b'Historic Farm Store &amp; Adjoining Real Estate',bham.craigslist.org/reo/5994998749.html,0
b'PERFECT cute 4/2 home for sale by owner',bham.craigslist.org/reo/5994972081.html,500
b'Owner Financing Opportunity',bham.craigslist.org/reo/5991823722.html,41000
"b'Trussville, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5994960927.html,195500
"b'Trussville, AL Home for Sale - 4bd 2ba/1hba'",bham.craigslist.org/reb/5994954616.html,275000
b'Need A House We Got One Just For You!!!',bham.craigslist.org/reo/5984958366.html,29999
b'Call Me We Will Sell Your House Fast!!',bham.craigslist.org/reo/5984965456.html,0
b'Million Dollar Long Range Views Mountain lot',bham.craigslist.org/reo/5961734110.html,0
"b'Home for Sale in Trussville, AL (4bd 3ba/2hba)'",bham.craigslist.org/reb/5994917635.html,410000
"b'Margaret, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5994910375.html,185000
b'Weiss Lake - 2.88 Ac Lot with Lake &amp; Mountain Views',bham.craigslist.org/reb/5994918046.html,35000
"b'Trussville, AL Home for Sale - 4bd 2ba'",bham.craigslist.org/reb/5994885704.html,180000
b'Have you been looking for an affordable place to buy?',bham.craigslist.org/reo/5994903121.html,574
b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\x83\xf0\x9f\x8f\x83TURNKEY PROPERTY',bham.craigslist.org/reo/5994846131.html,28900
b'3bd 1ba Home for Sale in Birmingham',bham.craigslist.org/reb/5994874044.html,40000
b'Fabulous Destin condo in Kelly Plantation',bham.craigslist.org/reb/5964773829.html,829000
b'4 .06Acres pristine House and land beautiful wooded tract',bham.craigslist.org/reo/5971373028.html,138000
b'4 .06Acres pristine House and land beautiful wooded tract',bham.craigslist.org/reo/5971366917.html,138000
"b'Home for Sale in Trussville, AL (4bd 3ba) - Reduced'",bham.craigslist.org/reb/5994868591.html,315000
"b'Trussville, AL Home for Sale - 4bd 2ba/1hba'",bham.craigslist.org/reb/5994861182.html,500000
b'INVESTOR DREAM!!!',bham.craigslist.org/reo/5988357846.html,0
"b'Home for Sale in Trussville, AL (5bd 4ba/1hba)'",bham.craigslist.org/reb/5988432097.html,399900
b'4bd 2ba/1hba Home for Sale in Pinson',bham.craigslist.org/reb/5985379866.html,165000
"b'Kentucky Hunting Leases 342, 444, 802, 888 and 1,005 acres'",bham.craigslist.org/reb/5988293384.html,0
b'4bd 3ba/2hba Home for Sale in Trussville',bham.craigslist.org/reb/5985343876.html,410000
b'4bd 2ba/1hba Home for Sale in Trussville',bham.craigslist.org/reb/5985347979.html,275000
"b'Odenville, AL Home for Sale - 5bd 3ba'",bham.craigslist.org/reb/5985352292.html,230000
b'2.5 Land for Sale in Odenville',bham.craigslist.org/reb/5985322781.html,40000
"b'Margaret, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5985327446.html,185000
b'4bd 3ba/2hba Home for Sale in Trussville',bham.craigslist.org/reb/5985332620.html,410000
"b'Moody, AL Home for Sale - 3bd 2ba/1hba'",bham.craigslist.org/reb/5985317885.html,165000
"b'Trussville, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5985339014.html,195500
"b'Home for Sale in Pinson, AL (4bd 2ba/1hba)'",bham.craigslist.org/reb/5985369704.html,165000
b'3bd 2ba Home for Sale in Trussville',bham.craigslist.org/reb/5985374718.html,195500
"b'Trussville, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5988422086.html,110000
"b'Home for Sale in Trussville, AL (4bd 2ba)'",bham.craigslist.org/reb/5985313525.html,180000
"b'Trussville, AL Home for Sale - 7bd 5ba'",bham.craigslist.org/reb/5953833657.html,925000
"b'Odenville, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5957313994.html,125000
b'3bd 2ba Home for Sale in Pinson',bham.craigslist.org/reb/5967513749.html,120000
"b'Odenville, AL Land for Sale - 0.4'",bham.craigslist.org/reb/5957306564.html,25000
b'3bd 2ba Home for Sale in Moody',bham.craigslist.org/reb/5967537532.html,152500
"b'Pinson, AL Home for Sale - 3bd 2ba/1hba'",bham.craigslist.org/reb/5967543510.html,200000
"b'Trussville, AL Home for Sale - 5bd 3ba/1hba'",bham.craigslist.org/reb/5967506403.html,450000
b'2.46 Land for Sale in Trussville',bham.craigslist.org/reb/5967524746.html,22140
"b'Land for Sale in Trussville, AL (2)'",bham.craigslist.org/reb/5972076265.html,25000
"b'Home for Sale in Trussville, AL (3bd 2ba)'",bham.craigslist.org/reb/5967571605.html,250000
"b'Trussville, AL Land for Sale - 0 acres'",bham.craigslist.org/reb/5988427730.html,14000
"b'Trussville, AL Home for Sale - 3bd 2ba/1hba'",bham.craigslist.org/reb/5967552001.html,210000
"b'Odenville, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5967521255.html,152900
"b'Home for Sale in Odenville, AL (4bd 2ba)'",bham.craigslist.org/reb/5967509828.html,180000
"b'Home for Sale in Pinson, AL (3bd 1ba)'",bham.craigslist.org/reb/5967555660.html,80000
"b'Pinson, AL Home for Sale - 4bd 2ba/1hba'",bham.craigslist.org/reb/5972080728.html,200000
"b'Home for Sale in Birmingham, AL (3bd 3ba) - Reduced'",bham.craigslist.org/reb/5972085630.html,127500
b'3bd 2ba Home for Sale in Branchville',bham.craigslist.org/reb/5972051370.html,185000
b'3bd 2ba Home for Sale in Birmingham',bham.craigslist.org/reb/5972069538.html,130000
"b'Chelsea, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5972045516.html,175000
"b'Trussville, AL Home for Sale - 4bd 3ba - Reduced'",bham.craigslist.org/reb/5953841087.html,330000
"b'Pinson, AL Home for Sale - 3bd 2ba - Reduced'",bham.craigslist.org/reb/5957319844.html,120000
b'3bd 2ba Home for Sale in Trussville',bham.craigslist.org/reb/5964590458.html,225000
b'0 acres Land for Sale in Trussville',bham.craigslist.org/reb/5954629626.html,14000
b'1.31 Land for Sale in Trussville',bham.craigslist.org/reb/5954634502.html,100000
"b'Home for Sale in Trussville, AL (4bd 2ba/1hba)'",bham.craigslist.org/reb/5972250264.html,500000
"b'Home for Sale in Springville, AL (4bd 3ba) - Reduced'",bham.craigslist.org/reb/5966090788.html,165000
"b'Home for Sale in Moody, AL (3bd 2ba/1hba)'",bham.craigslist.org/reb/5953815910.html,160000
"b'Home for Sale in Trussville, AL (3bd 2ba)'",bham.craigslist.org/reb/5983949044.html,195500
b'4bd 4ba/1hba Home for Sale in Trussville',bham.craigslist.org/reb/5983917973.html,365000
"b'Pinson, AL Home for Sale - 4bd 2ba/1hba'",bham.craigslist.org/reb/5983890482.html,195000
b'3bd 2ba/1hba Home for Sale in Trussville',bham.craigslist.org/reb/5988465505.html,450000
b'3bd 2ba Home for Sale in Pinson - Reduced',bham.craigslist.org/reb/5952432825.html,120000
"b'Home for Sale in Trussville, AL (3bd 2ba/1hba)'",bham.craigslist.org/reb/5952454521.html,240000
"b'Trussville, AL Land for Sale - 2.46'",bham.craigslist.org/reb/5952441231.html,22140
b'3bd 2ba Home for Sale in Moody',bham.craigslist.org/reb/5952446528.html,152500
"b'Pinson, AL Home for Sale - 3bd 1ba - Reduced'",bham.craigslist.org/reb/5952466223.html,80000
"b'Townhome for Sale in Moody, AL (3bd 2ba/1hba) - Reduced'",bham.craigslist.org/reb/5952481213.html,130000
"b'Home for Sale in Trussville, AL (3bd 2ba)'",bham.craigslist.org/reb/5952497464.html,250000
"b'Irondale, AL Home for Sale - 2bd 1ba'",bham.craigslist.org/reb/5952487049.html,45000
"b'Birmingham, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5952505890.html,90000
b'4bd 2ba Home for Sale in Moody',bham.craigslist.org/reb/5967578719.html,180000
"b'Trussville, AL Home for Sale - 5bd 4ba/1hba'",bham.craigslist.org/reb/5973269144.html,399900
"b'Land for Sale in Odenville, AL (0.4)'",bham.craigslist.org/reb/5966082780.html,25000
"b'Birmingham, AL Land for Sale - 0'",bham.craigslist.org/reb/5973273067.html,42500
"b'Trussville, AL Home for Sale - 6bd 4ba/2hba'",bham.craigslist.org/reb/5953821462.html,480000
"b'Home for Sale in Trussville, AL (4bd 4ba/1hba)'",bham.craigslist.org/reb/5953829924.html,365000
"b'Home for Sale in Trussville, AL (4bd 4ba/1hba)'",bham.craigslist.org/reb/5953825138.html,365000
"b'Odenville, AL Home for Sale - 3bd 3ba'",bham.craigslist.org/reb/5952511240.html,210000
b'3bd 2ba Home for Sale in Chelsea - Reduced',bham.craigslist.org/reb/5953336699.html,175000
b'4bd 2ba/1hba Home for Sale in Pinson',bham.craigslist.org/reb/5953368007.html,200000
"b'Trussville, AL Home for Sale - 3bd 2ba/1hba'",bham.craigslist.org/reb/5952424412.html,300000
"b'Trafford, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5954671774.html,120000
b'0.4 Land for Sale in Odenville',bham.craigslist.org/reb/5956606989.html,25000
"b'Trussville, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5956589500.html,240000
"b'Home for Sale in Oneonta, AL (2bd 1ba)'",bham.craigslist.org/reb/5956568768.html,54900
"b'Home for Sale in Clay, AL (4bd 3ba)'",bham.craigslist.org/reb/5956581276.html,160000
"b'Home for Sale in Oneonta, AL (2bd 1ba)'",bham.craigslist.org/reb/5956510654.html,54900
"b'Trussville, AL Land for Sale - 0 acres'",bham.craigslist.org/reb/5956505858.html,14000
"b'Trussville, AL Home for Sale - 3bd 2ba - Reduced'",bham.craigslist.org/reb/5962171432.html,155000
b'3bd 2ba Home for Sale in Chelsea',bham.craigslist.org/reo/5962175963.html,175000
"b'Odenville, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5966094169.html,125000
"b'Home for Sale in Moody, AL (4bd 2ba)'",bham.craigslist.org/reb/5962162446.html,180000
"b'Birmingham, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5962158543.html,90000
b'2bd 1ba Home for Sale in Irondale',bham.craigslist.org/reb/5962148451.html,45000
b'3bd 2ba Home for Sale in Trussville',bham.craigslist.org/reb/5962153772.html,250000
"b'Home for Sale in Odenville, AL (3bd 2ba)'",bham.craigslist.org/reb/5962088738.html,152900
"b'Moody, AL Townhome for Sale - 3bd 2ba/1hba'",bham.craigslist.org/reb/5962135662.html,130000
b'3bd 1ba Home for Sale in Pinson - Reduced',bham.craigslist.org/reb/5962128195.html,80000
"b'Trussville, AL Home for Sale - 3bd 2ba/1hba'",bham.craigslist.org/reb/5962113967.html,240000
"b'Pinson, AL Home for Sale - 3bd 2ba/1hba'",bham.craigslist.org/reb/5962108695.html,200000
"b'Home for Sale in Trussville, AL (3bd 2ba/1hba)'",bham.craigslist.org/reb/5962123206.html,210000
b'2.46 Land for Sale in Trussville',bham.craigslist.org/reb/5962094892.html,22140
"b'Moody, AL Home for Sale - 3bd 2ba'",bham.craigslist.org/reb/5962102202.html,152500
"b'Home for Sale in Branchville, AL (3bd 2ba)'",bham.craigslist.org/reb/5962180390.html,185000
b'Awesome Investment Opportunity!',bham.craigslist.org/reo/5981811962.html,19500
b'Cheap Duplex for Sale! *REDUCED PRICE*',bham.craigslist.org/reo/5955110253.html,19500
b'Fix and Flip This House in Hot Area of Birmingham!',bham.craigslist.org/reo/5955101765.html,10500
b'Great Investment Opportunity!!!',bham.craigslist.org/reo/5961486823.html,29500
b'Fix and Flip This House in Hot Area of Birmingham!',bham.craigslist.org/reo/5955105373.html,18900
b'Must See Property for Investors!!!',bham.craigslist.org/reo/5981837959.html,17500
b'Income Ready Investment!!',bham.craigslist.org/reo/5981828549.html,56000
b'Income Generating Investment!!',bham.craigslist.org/reo/5981909827.html,67000
"b'Rehabbed, Rented, and Cash Flow Ready!'",bham.craigslist.org/reo/5981807113.html,48000
b'Four Bedroom Home in Hoover Could Be Yours',bham.craigslist.org/reb/5991628557.html,0
b'Looking to Purchase a 4 Bedroom Home in Homewood?',bham.craigslist.org/reb/5991627711.html,0
b'New Price! Available Now! Priced To Sell!',bham.craigslist.org/reb/5991627182.html,154900
b'Handyman Special - Only $1500 Down',bham.craigslist.org/reo/5974686829.html,40098
b'\xe2\x99\xa6\xe2\x99\xa6WE WILL BUY YOUR HOUSE!!\xe2\x99\xa6\xe2\x99\xa6',bham.craigslist.org/reo/5994663332.html,0
b'\xe2\x96\xba\xe2\x96\xba Remodeled Rent 2 Own Trussville House \xe2\x97\x84\xe2\x97\x84',bham.craigslist.org/reo/5964959674.html,220000
b'4 BR 1 BA $9.5k',bham.craigslist.org/reo/5994628270.html,9500
"b'Single Family Home Only $8,900'",bham.craigslist.org/reb/5969761519.html,8900
"b'HOUSE FOR SALE  $10,000 DOWN NO CREDIT CHECK'",bham.craigslist.org/reo/5952557929.html,60000
